LOCATION_ID,NUM_CONTAINER_WHITE,NUM_CONTAINER_GREEN,NUM_CONTAINER_BROWN
100110110110001,1,1,1
100110110110002,1,1,1
100110110110003,1,1,1
100110110110004,1,1,1
100110110110005,1,1,1
100110110110006,1,1,1
100110110110007,1,1,1
100110110110008,1,1,1
100110110110009,2,2,2
100110110110010,1,1,1
100110110110011,1,1,1
100110110110012,1,1,1
100110110110013,1,1,1
100110110110014,1,1,1
100110110110015,1,1,1
100110110110016,1,1,1
100110110110017,2,2,1
100110110110018,1,1,1
100110110110019,1,1,1
100110110110020,2,2,1
100110110110021,1,1,1
100110110110022,1,1,1
100110110110023,1,1,1
100110110110024,1,1,0
100110110110025,1,1,1
100110110110026,1,1,1
100110110110027,1,1,1
100110110110028,1,1,1
100110110110029,1,1,1
100110110110030,1,1,1
100110110110031,1,1,1
100110110110032,1,1,1
100110110110033,1,1,1
100110110110034,1,1,1
100110110110035,1,1,1
100110110110036,1,1,1
100110110110037,1,1,1
100110110110038,1,1,1
100110110110039,1,1,1
100110110110040,1,1,1
100110110110041,1,1,1
100110110110042,1,1,1
100110110110043,1,1,1
100110110110044,1,1,1
100110110110045,1,1,1
100110110110046,1,1,1
100110110110047,1,1,1
100110110110048,1,1,1
100110110110049,1,1,1
100110110110050,1,1,1
100110110110051,1,1,1
100110110110052,1,1,1
100110110110053,1,1,1
100110110110054,1,1,1
100110110110055,1,1,1
100110110110056,1,1,1
100110110110057,1,1,1
100110110110058,1,1,1
100110110110059,1,1,1
100110110110060,1,1,1
100110110110061,2,2,2
100110110110062,1,1,1
100110110110063,1,1,1
100110110110064,1,1,1
100110110110065,1,1,1
100110110110066,1,1,1
100110110110067,1,1,1
100110110110068,1,1,1
100110110110069,1,1,1
100110110110070,1,1,1
100110110110071,1,1,1
100110110110072,1,1,1
100110110110073,1,1,1
100110110110074,1,1,1
100110110110075,1,1,1
100110110110076,1,1,1
100110110110077,1,1,1
100110110110078,1,1,1
100110110110079,1,1,1
100110110110080,1,1,1
100110110110081,1,1,1
100110110110082,1,1,1
100110110110083,1,1,1
100110110110084,1,1,1
100110110110085,1,1,1
100110110110086,1,1,1
100110110110087,1,1,1
100110110110088,1,1,1
100110110110089,2,2,1
100110110110090,1,1,1
100110110110091,1,1,1
100110110110092,1,1,1
100110110110093,1,1,1
100110110110094,1,1,1
100110110110095,1,1,1
100110110199999,0,0,0
100110110210001,1,1,1
100110110210002,1,1,1
100110110210003,1,1,1
100110110210004,1,1,1
100110110210005,1,1,1
100110110210006,1,1,1
100110110210007,1,1,1
100110110210008,1,1,1
100110110210009,1,1,1
100110110210010,1,1,1
100110110210011,1,1,1
100110110210012,2,2,2
100110110210013,1,1,1
100110110210014,1,1,1
100110110210015,1,1,1
100110110210016,1,1,1
100110110210017,1,1,1
100110110210018,1,1,1
100110110210019,1,1,1
100110110210020,1,1,1
100110110210021,1,1,1
100110110210022,2,2,2
100110110210023,1,1,1
100110110210024,1,1,1
100110110210025,1,1,1
100110110210026,1,1,1
100110110210027,1,1,1
100110110210028,1,1,1
100110110210029,1,1,1
100110110210030,2,2,2
100110110210031,1,1,1
100110110210032,1,1,1
100110110210033,1,1,1
100110110210034,1,1,1
100110110210035,1,1,1
100110110210036,2,2,2
100110110210037,2,1,1
100110110210038,1,1,1
100110110210039,1,1,1
100110110210040,1,1,1
100110110210041,1,1,1
100110110210042,1,1,1
100110110210043,1,1,1
100110110210044,1,1,1
100110110210045,2,2,2
100110110210046,1,1,1
100110110210047,1,1,1
100110110210048,2,2,2
100110110210049,1,1,1
100110110210050,1,1,1
100110110210051,2,2,2
100110110210052,1,1,1
100110110210053,1,1,1
100110110210054,1,1,1
100110110210055,1,1,1
100110110210056,1,1,1
100110110210057,1,1,1
100110110210058,1,1,1
100110110210059,1,1,1
100110110210060,1,1,1
100110110210061,1,1,1
100110110210062,1,1,1
100110110210063,1,1,1
100110110210064,1,1,1
100110110210065,1,1,1
100110110210066,1,1,1
100110110210067,1,1,1
100110110210068,1,1,1
100110110210069,1,1,1
100110110210070,1,1,1
100110110210071,1,1,1
100110110210072,1,1,1
100110110210073,1,1,1
100110110210074,1,1,1
100110110210075,1,1,1
100110110210076,1,1,1
100110110210077,1,1,1
100110110210078,1,1,1
100110110210079,1,1,1
100110110210080,1,1,1
100110110210081,1,1,1
100110110210082,1,1,1
100110110210083,1,1,1
100110110210084,1,1,1
100110110210085,2,2,2
100110110210086,2,1,1
100110110210087,1,1,1
100110110210088,1,1,1
100110110210089,1,1,1
100110110210090,1,1,1
100110110210091,1,1,1
100110110210092,1,1,1
100110110210093,1,1,1
100110110210094,1,1,1
100110110210095,1,1,1
100110110210096,1,1,1
100110110210097,3,3,2
100110110210098,3,3,3
100110110210099,1,1,1
100110110210100,1,1,1
100110110210101,1,1,1
100110110210102,1,1,1
100110110210103,1,1,1
100110110210104,1,1,1
100110110210105,1,1,1
100110110210106,1,1,1
100110110210107,1,1,1
100110110210108,1,1,1
100110110210109,1,1,1
100110110210110,1,1,1
100110110210111,2,2,2
100110110210112,1,1,1
100110110210113,1,1,1
100110110210114,1,1,1
100110110210115,1,1,1
100110110210116,1,1,1
100110110210117,1,1,1
100110110210118,1,1,1
100110110210119,2,2,2
100110110210120,1,1,1
100110110210121,1,1,1
