TRANSACTION_ID;CONTAINER_ID;RECORDED_AT;NEXT_RECORDED_AT;INTERVAL;LEVEL_DIFF
8566;1001101101999991311;2023-12-05 09:39:56;2023-12-05 11:30:11;0 days 01:50:15;-50.0
8565;1001101101999991211;2023-12-05 09:40:16;2023-12-05 11:30:40;0 days 01:50:24;-10.0
14129;1001101102100981313;2024-01-29 10:55:14;2024-01-29 15:17:00;0 days 04:21:46;10.0
14118;1001101102100981112;2024-01-29 10:55:31;2024-01-29 15:17:17;0 days 04:21:46;-10.0
14120;1001101102100981211;2024-01-29 10:55:47;2024-01-29 15:17:30;0 days 04:21:43;20.0
14121;1001101102100981212;2024-01-29 10:55:55;2024-01-29 15:17:38;0 days 04:21:43;40.0
16628;1001101102100541211;2024-02-20 08:52:04;2024-02-20 09:42:50;0 days 00:50:46;-10.0
16629;1001101102100541311;2024-02-20 08:52:23;2024-02-20 09:42:24;0 days 00:50:01;10.0
17342;1002101101011201111;2024-02-28 07:49:13;2024-02-28 12:41:01;0 days 04:51:48;-90.0
17343;1002101101011201211;2024-02-28 07:49:27;2024-02-28 12:41:17;0 days 04:51:50;-80.0
17344;1002101101011201311;2024-02-28 07:49:50;2024-02-28 12:41:38;0 days 04:51:48;-10.0
18437;1001101101999991111;2024-03-04 07:05:44;2024-03-04 11:27:12;0 days 04:21:28;50.0
18439;1001101101999991311;2024-03-04 07:06:06;2024-03-04 11:26:50;0 days 04:20:44;50.0
18438;1001101101999991211;2024-03-04 07:06:22;2024-03-04 11:27:00;0 days 04:20:38;40.0
18594;1001101101999991311;2024-03-04 11:26:50;2024-03-04 12:26:47;0 days 00:59:57;-20.0
18593;1001101101999991211;2024-03-04 11:27:00;2024-03-04 12:26:59;0 days 00:59:59;20.0
18592;1001101101999991111;2024-03-04 11:27:12;2024-03-04 12:27:07;0 days 00:59:55;10.0
18790;1001101101999991111;2024-03-05 07:21:33;2024-03-05 11:25:56;0 days 04:04:23;60.0
18791;1001101101999991211;2024-03-05 07:21:46;2024-03-05 11:25:50;0 days 04:04:04;-10.0
18792;1001101101999991311;2024-03-05 07:21:55;2024-03-05 11:26:04;0 days 04:04:09;40.0
19006;1001101101999991211;2024-03-05 11:25:50;2024-03-05 12:56:39;0 days 01:30:49;-20.0
19005;1001101101999991111;2024-03-05 11:25:56;2024-03-05 12:56:46;0 days 01:30:50;-10.0
19007;1001101101999991311;2024-03-05 11:26:04;2024-03-05 12:56:56;0 days 01:30:52;-20.0
19460;1001101101999991211;2024-03-06 09:09:10;2024-03-06 12:10:06;0 days 03:00:56;-20.0
19461;1001101101999991311;2024-03-06 09:09:25;2024-03-06 12:10:28;0 days 03:01:03;-20.0
20418;1001101101999991211;2024-03-13 08:20:54;2024-03-13 10:40:25;0 days 02:19:31;-10.0
20417;1001101101999991111;2024-03-13 08:21:01;2024-03-13 10:40:16;0 days 02:19:15;10.0
20494;1001101101999991311;2024-03-13 10:39:59;2024-03-13 12:47:00;0 days 02:07:01;20.0
20492;1001101101999991111;2024-03-13 10:40:16;2024-03-13 12:46:38;0 days 02:06:22;10.0
20493;1001101101999991211;2024-03-13 10:40:25;2024-03-13 12:47:12;0 days 02:06:47;10.0
20604;1001101101999991311;2024-03-14 07:22:30;2024-03-14 12:43:53;0 days 05:21:23;40.0
20603;1001101101999991211;2024-03-14 07:22:50;2024-03-14 12:43:32;0 days 05:20:42;50.0
20935;1001101101999991111;2024-03-18 08:09:30;2024-03-18 13:30:35;0 days 05:21:05;10.0
22086;1001101101999991211;2024-03-25 09:35:04;2024-03-25 12:44:01;0 days 03:08:57;10.0
22085;1001101101999991111;2024-03-25 09:35:31;2024-03-25 12:44:11;0 days 03:08:40;20.0
22087;1001101101999991311;2024-03-25 09:35:40;2024-03-25 12:44:21;0 days 03:08:41;20.0
24205;1001101101999991211;2024-04-09 09:46:42;2024-04-09 12:22:35;0 days 02:35:53;-20.0
24204;1001101101999991111;2024-04-09 09:46:56;2024-04-09 12:22:29;0 days 02:35:33;-40.0
24206;1001101101999991311;2024-04-09 09:47:02;2024-04-09 12:22:16;0 days 02:35:14;-20.0
24459;1001101101999991211;2024-04-10 10:35:27;2024-04-10 13:47:30;0 days 03:12:03;10.0
24458;1001101101999991111;2024-04-10 10:35:36;2024-04-10 13:47:10;0 days 03:11:34;-30.0
26038;1001101101999991211;2024-04-22 10:15:39;2024-04-22 12:02:17;0 days 01:46:38;30.0
26037;1001101101999991111;2024-04-22 10:16:03;2024-04-22 12:02:11;0 days 01:46:08;50.0
26039;1001101101999991311;2024-04-22 10:16:11;2024-04-22 12:02:03;0 days 01:45:52;20.0
26073;1001101101999991311;2024-04-22 12:02:03;2024-04-22 14:30:38;0 days 02:28:35;30.0
26071;1001101101999991111;2024-04-22 12:02:11;2024-04-22 14:30:31;0 days 02:28:20;20.0
26072;1001101101999991211;2024-04-22 12:02:17;2024-04-22 14:30:24;0 days 02:28:07;-10.0
26267;1001101101999991311;2024-04-23 08:29:47;2024-04-23 10:02:57;0 days 01:33:10;40.0
26265;1001101101999991111;2024-04-23 08:29:53;2024-04-23 10:03:07;0 days 01:33:14;-30.0
26266;1001101101999991211;2024-04-23 08:30:00;2024-04-23 10:03:12;0 days 01:33:12;-10.0
26388;1001101101999991311;2024-04-23 11:30:58;2024-04-23 13:10:09;0 days 01:39:11;-10.0
26386;1001101101999991111;2024-04-23 11:31:02;2024-04-23 13:10:03;0 days 01:39:01;10.0
26387;1001101101999991211;2024-04-23 11:31:08;2024-04-23 13:09:59;0 days 01:38:51;10.0
27299;1001101101999991211;2024-04-30 06:56:18;2024-04-30 07:53:48;0 days 00:57:30;-30.0
27298;1001101101999991111;2024-04-30 06:56:24;2024-04-30 07:53:53;0 days 00:57:29;-60.0
27300;1001101101999991311;2024-04-30 06:56:31;2024-04-30 07:53:58;0 days 00:57:27;-50.0
28256;1001101101999991211;2024-05-07 10:27:10;2024-05-07 14:26:53;0 days 03:59:43;50.0
28254;1001101101999991111;2024-05-07 10:27:38;2024-05-07 14:26:07;0 days 03:58:29;30.0
30830;1001101101999991211;2024-05-29 09:38:21;2024-05-29 14:04:01;0 days 04:25:40;10.0
30829;1001101101999991111;2024-05-29 09:38:29;2024-05-29 14:04:09;0 days 04:25:40;10.0
30834;1001101101999991311;2024-05-29 09:38:40;2024-05-29 14:04:17;0 days 04:25:37;-10.0
