TRANSACTION_ID;CONTAINER_ID;SLIDER_LEVEL;CV_LEVEL;SENSOR_LEVEL;IMAGE_ID;PHONE_ID;RECORDED_AT;COMMENT;IS_EMPTIED;LATITUDE;LONGITUDE;CREATED_AT;UPDATED_AT;ROUTE_ID;LOCATION_ID
51380;1001101101100691111;10;;;1001101101100691111/2024-07-22T06:57:51.857140.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 06:57:52.0;;1;49.447244;7.772618;2024-07-22 04:58:21.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110069
51381;1001101101100691112;30;;;1001101101100691112/2024-07-22T06:58:01.494934.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 06:58:01.0;;1;49.447244;7.772618;2024-07-22 04:58:22.0;2024-07-22 04:58:22.0;;100110110110069
51382;1001101101100691211;20;;;1001101101100691211/2024-07-22T06:58:09.333789.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 06:58:09.0;;1;49.447244;7.772618;2024-07-22 04:58:24.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110069
51383;1001101101100691212;20;;;1001101101100691212/2024-07-22T06:58:17.138790.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 06:58:17.0;;1;49.447244;7.772618;2024-07-22 04:58:25.0;2024-07-22 04:58:25.0;;100110110110069
51384;1001101101100691311;10;;;1001101101100691311/2024-07-22T06:57:33.093595.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 06:57:33.0;;0;49.447244;7.772618;2024-07-22 04:58:26.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110069
51385;1001101101100691312;20;;;1001101101100691312/2024-07-22T06:57:41.659189.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 06:57:42.0;;0;49.447244;7.772618;2024-07-22 04:58:27.0;2024-07-22 04:58:27.0;;100110110110069
51392;1001101101100551111;40;;;1001101101100551111/2024-07-22T07:15:17.410031.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 07:15:17.0;;1;49.446243;7.76455;2024-07-22 05:32:21.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110055
51393;1001101101100551211;20;;;1001101101100551211/2024-07-22T07:15:07.406429.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 07:15:07.0;;1;49.446243;7.76455;2024-07-22 05:32:23.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110055
51394;1001101101100551311;30;;;1001101101100551311/2024-07-22T07:15:29.862394.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 07:15:30.0;;0;49.446243;7.76455;2024-07-22 05:32:24.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110055
51395;1001101101100711111;50;;;1001101101100711111/2024-07-22T07:32:38.258878.png;UP1A.231005.007_feb67a335a9479a4;2024-07-22 07:32:38.0;;1;49.441387;7.761103;2024-07-22 05:33:02.0;2024-09-30 15:32:27.0;2024-07-22-1001101101-0;100110110110071
