Name,Description,Coordinates
11_2023-11-03+12_2023-11-03+13_2023-11-03+11_2024-03-15+12_2024-03-15+13_2024-03-15,GEO_Lat: 49.4408055<br>GEO_Long: 7.70773985,"7.70773985,49.4408055,0"
11_2023-11-17+12_2023-11-17+13_2023-11-17,GEO_Lat: 49.470104<br>GEO_Long: 7.715574,"7.715574,49.470104,0"
11_2023-12-11+12_2023-12-11+13_2023-12-11,GEO_Lat: 49.441545999999995<br>GEO_Long: 7.760743000000001,"7.760743,49.441546,0"
11_2023-12-18+12_2023-12-18+13_2023-12-18,GEO_Lat: 49.44401<br>GEO_Long: 7.812867999999999,"7.812868,49.44401,0"
11_2024-01-03+12_2024-01-03+13_2024-01-03,GEO_Lat: 49.435656<br>GEO_Long: 7.740480000000001,"7.74048,49.435656,0"
11_2024-03-04+12_2024-03-04+13_2024-03-04,GEO_Lat: 49.877731000000004<br>GEO_Long: 8.643408,"8.643408,49.877731,0"
11_2024-03-06+12_2024-03-06+13_2024-03-06+11_2024-04-10+12_2024-04-10+13_2024-04-10,GEO_Lat: 49.846482599999995<br>GEO_Long: 8.641821799999999,"8.6418218,49.8464826,0"
13_2024-03-06,GEO_Lat: 49.404845<br>GEO_Long: 7.726945,"7.726945,49.404845,0"
11_2024-03-12+11_2024-03-12+12_2024-03-12+13_2024-03-12,GEO_Lat: 49.9082421<br>GEO_Long: 8.6672099,"8.6672099,49.9082421,0"
11_2024-03-13+12_2024-03-13+13_2024-03-13,GEO_Lat: 49.8231394<br>GEO_Long: 8.6493183,"8.6493183,49.8231394,0"
11_2024-03-13+11_2024-03-13+12_2024-03-13+13_2024-03-13+11_2024-07-31+11_2024-07-31+12_2024-07-31+13_2024-07-31,GEO_Lat: 49.87373245<br>GEO_Long: 8.6442111,"8.6442111,49.87373245,0"
11_2024-03-18+12_2024-03-18+13_2024-03-18,GEO_Lat: 49.3766909<br>GEO_Long: 7.4968631,"7.4968631,49.3766909,0"
